AVAILABLE,COMBINATION,
100 | 0 | 0 | 0 | 100 | 0 | 0 | 100 | 0,011202102,
100 | 0 | 0 | 0 | 100 | 0 | 0 | 100 | 0,012201102,
100 | 100 | 100 | 100 | 0 | 100 | 100 | 0 | 100,000010020,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 0 | 0,001102212,
100 | 100 | 0 | 0 | 0 | 0 | 100 | 0 | 0,001112022,
100 | 100 | 0 | 0 | 0 | 100 | 100 | 100 | 0,001210002,
32 | 30 | 0 | 11490 | 0 | 0 | 0 | 0 | 0,001022211,
100 | 100 | 0 | 100 | 0 | 0 | 0 | 0 | 0,001021122,
100 | 100 | 0 | 0 | 100 | 100 | 0 | 0 | 100,002100120,
100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100,010202010,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 0 | 0,002101212,
100 | 0 | 0 | 0 | 0 | 0 | 100 | 0 | 100,011212020,
100 | 100 | 100 | 100 | 0 | 0 | 0 | 100 | 0,000012201,
100 | 100 | 0 | 0 | 100 | 100 | 0 | 100 | 0,001200201,
100 | 100 | 100 | 0 | 100 | 0 | 100 | 100 | 100,000102000,
100 | 100 | 100 | 0 | 100 | 0 | 0 | 0 | 100,000102120,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 100,002221110,
100 | 0 | 0 | 0 | 100 | 0 | 100 | 0 | 0,011201022,
100 | 0 | 100 | 0 | 0 | 0 | 100 | 0 | 0,010122021,
100 | 100 | 0 | 0 | 100 | 100 | 100 | 0 | 0,001100022,
1594 | 65 | 0 | 0 | 0 | 59 | 0 | 0 | 0,001120212,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 100 | 100,001102200,
100 | 100 | 100 | 100 | 100 | 100 | 0 | 100 | 0,000000102,
100 | 100 | 100 | 100 | 0 | 0 | 100 | 0 | 0,000021021,
100 | 100 | 100 | 100 | 0 | 0 | 0 | 0 | 100,000022110,
84 | 83 | 0 | 0 | 0 | 0 | 0 | 89 | 0,001211202,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 0 | 0,002101221,
100 | 0 | 100 | 0 | 100 | 0 | 0 | 0 | 0,010202121,
81 | 0 | 77 | 0 | 0 | 0 | 0 | 0 | 526,010112220,
100 | 100 | 0 | 0 | 100 | 100 | 100 | 0 | 0,002100012,
100 | 100 | 0 | 100 | 100 | 100 | 0 | 100 | 100,001000200,
100 | 100 | 0 | 0 | 0 | 100 | 0 | 0 | 0,002210211,
0 | 100 | 0 | 100 | 0 | 100 | 0 | 0 | 0,101020212,
0 | 100 | 0 | 100 | 100 | 0 | 0 | 0 | 0,101002122,
100 | 100 | 100 | 100 | 0 | 0 | 0 | 0 | 100,000011220,
100 | 0 | 0 | 0 | 0 | 100 | 0 | 100 | 0,011220201,
100 | 0 | 100 | 0 | 0 | 0 | 0 | 100 | 0,020212101,
100 | 0 | 0 | 0 | 100 | 100 | 0 | 0 | 0,012200121,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 100 | 0,002221101,
0 | 100 | 0 | 100 | 100 | 0 | 0 | 0 | 0,102001221,
100 | 100 | 100 | 0 | 100 | 0 | 100 | 0 | 0,000102012,
100 | 100 | 0 | 0 | 0 | 100 | 0 | 0 | 0,001120221,
0 | 100 | 0 | 0 | 100 | 0 | 0 | 100 | 0,101202102,
100 | 0 | 0 | 0 | 100 | 100 | 0 | 0 | 0,012200112,
100 | 0 | 0 | 0 | 100 | 0 | 0 | 100 | 0,012201201,
0 | 100 | 0 | 0 | 100 | 0 | 0 | 100 | 0,102201102,
100 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 100,011202120,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 100,001221120,
100 | 100 | 0 | 0 | 100 | 100 | 0 | 100 | 0,002100102,
114 | 90 | 86 | 90 | 0 | 0 | 87 | 0 | 0,000021012,
100 | 100 | 100 | 100 | 0 | 0 | 0 | 100 | 0,000022101,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 100 | 0,001212201,
100 | 100 | 0 | 0 | 0 | 0 | 100 | 0 | 0,002122011,
100 | 100 | 0 | 0 | 0 | 100 | 0 | 0 | 0,002210121,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 100,002211210,
0 | 100 | 0 | 0 | 100 | 100 | 0 | 0 | 0,102100212,
100 | 100 | 0 | 0 | 0 | 100 | 100 | 0 | 100,001210020,
0 | 100 | 0 | 100 | 0 | 100 | 0 | 0 | 0,101020122,
100 | 100 | 100 | 100 | 0 | 100 | 0 | 0 | 0,000010122,
0 | 100 | 0 | 100 | 100 | 0 | 0 | 0 | 0,102001212,
100 | 100 | 0 | 0 | 100 | 100 | 0 | 100 | 0,001200102,
597 | 141 | 925 | 75 | 0 | 4299 | 877 | 2887 | 0,000010002,
100 | 100 | 100 | 0 | 100 | 0 | 100 | 0 | 0,000102021,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 100,002112210,
100 | 100 | 0 | 0 | 0 | 0 | 100 | 0 | 0,002221011,
100 | 0 | 0 | 0 | 100 | 0 | 100 | 0 | 0,011202012,
100 | 100 | 0 | 100 | 0 | 100 | 0 | 0 | 100,001010220,
100 | 100 | 0 | 100 | 0 | 100 | 0 | 0 | 100,002010210,
72 | 80 | 0 | 0 | 0 | 0 | 0 | 78 | 0,001121202,
100 | 100 | 100 | 100 | 0 | 0 | 0 | 0 | 100,000021120,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 100 | 100,002101200,
100 | 100 | 0 | 0 | 0 | 100 | 0 | 0 | 0,002210112,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 100 | 0,002211201,
0 | 100 | 0 | 100 | 0 | 0 | 0 | 100 | 0,101021202,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 100,001211220,
100 | 100 | 0 | 0 | 0 | 0 | 100 | 0 | 0,001221012,
100 | 0 | 0 | 0 | 0 | 100 | 0 | 100 | 0,012110202,
100 | 0 | 0 | 0 | 0 | 100 | 0 | 100 | 0,011220102,
100 | 100 | 0 | 0 | 0 | 100 | 100 | 0 | 100,002110020,
100 | 100 | 100 | 100 | 0 | 0 | 0 | 100 | 0,000011202,
100 | 100 | 100 | 0 | 0 | 0 | 0 | 0 | 0,000121212,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 100 | 0,002112201,
100 | 0 | 100 | 0 | 0 | 0 | 0 | 0 | 100,010122210,
100 | 100 | 100 | 0 | 100 | 0 | 0 | 100 | 0,000102201,
100 | 0 | 0 | 0 | 100 | 100 | 0 | 0 | 0,012200211,
100 | 100 | 0 | 0 | 100 | 100 | 0 | 0 | 100,001200120,
100 | 0 | 0 | 0 | 100 | 0 | 100 | 0 | 0,011202021,
100 | 0 | 0 | 0 | 0 | 100 | 0 | 100 | 0,011210202,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 100,001112220,
100 | 100 | 0 | 100 | 0 | 0 | 0 | 100 | 100,001021200,
100 | 0 | 0 | 0 | 0 | 100 | 0 | 100 | 0,021210201,
66 | 63 | 245 | 0 | 0 | 0 | 69 | 73 | 0,000112002,
100 | 100 | 100 | 0 | 0 | 0 | 0 | 0 | 0,000112122,
0 | 14579 | 0 | 1696 | 0 | 0 | 0 | 56 | 0,101022201,
100 | 100 | 100 | 0 | 0 | 0 | 100 | 0 | 100,000212010,
100 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0,011220012,
100 | 100 | 0 | 0 | 0 | 0 | 100 | 0 | 0,001122021,
100 | 0 | 0 | 0 | 0 | 100 | 0 | 100 | 0,012220101,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 0 | 0,001201212,
100 | 100 | 0 | 0 | 100 | 100 | 0 | 100 | 0,002200101,
100 | 100 | 0 | 0 | 0 | 0 | 100 | 0 | 0,002112021,
54 | 53 | 0 | 51 | 0 | 55 | 0 | 2386 | 0,001010202,
100 | 100 | 0 | 0 | 100 | 0 | 100 | 100 | 0,001102002,
100 | 100 | 100 | 0 | 100 | 0 | 0 | 100 | 0,000202101,
8276 | 27 | 6354 | 80 | 0 | 90 | 1961 | 0 | 1657,000020010,
1405 | 61 | 0 | 58 | 0 | 0 | 0 | 0 | 0,001021212,
9812 | 45 | 38 | 41 | 0 | 0 | 0 | 27 | 0,000021102,
100 | 100 | 0 | 100 | 0 | 100 | 0 | 0 | 100,001020120,
100 | 100 | 0 | 0 | 100 | 0 | 100 | 0 | 100,002101020,
1446 | 2419 | 0 | 0 | 0 | 0 | 0 | 2041 | 0,002211102,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 100,001212210,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 0 | 0,001102122,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 100 | 100,001201200,
100 | 100 | 100 | 100 | 0 | 100 | 0 | 0 | 0,000010212,
100 | 0 | 100 | 0 | 0 | 0 | 0 | 100 | 0,010122102,
100 | 100 | 100 | 0 | 100 | 0 | 0 | 0 | 100,000102210,
100 | 100 | 100 | 0 | 100 | 0 | 0 | 100 | 0,000102102,
100 | 0 | 100 | 0 | 0 | 0 | 100 | 0 | 0,010121022,
100 | 100 | 0 | 0 | 100 | 100 | 100 | 0 | 0,001200021,
36 | 30251 | 29 | 38 | 0 | 35 | 0 | 0 | 0,000020121,
78 | 78 | 182 | 78 | 0 | 0 | 0 | 0 | 76,000021210,
5506 | 46 | 0 | 1504 | 0 | 1242 | 0 | 0 | 2195,001020210,
15914 | 6982 | 17120 | 13119 | 0 | 2779 | 12969 | 2877 | 0,000020001,
100 | 100 | 0 | 0 | 100 | 100 | 100 | 0 | 0,002100021,
100 | 0 | 0 | 0 | 100 | 100 | 0 | 0 | 0,012100221,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 100 | 0,002212101,
100 | 100 | 0 | 0 | 0 | 0 | 100 | 0 | 0,002211012,
100 | 0 | 0 | 0 | 0 | 100 | 0 | 100 | 0,012210201,
100 | 100 | 100 | 0 | 0 | 0 | 100 | 0 | 100,000112020,
0 | 100 | 0 | 100 | 100 | 100 | 0 | 100 | 0,102000201,
100 | 100 | 100 | 0 | 0 | 0 | 0 | 0 | 0,000212112,
100 | 0 | 100 | 0 | 0 | 0 | 0 | 0 | 100,010122120,
100 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | 100,002112120,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 0 | 0,002201211,
100 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0,011220021,
16131 | 43 | 0 | 44 | 0 | 53 | 0 | 43 | 0,001020102,
9257 | 36 | 29 | 23 | 0 | 29 | 0 | 0 | 0,000020112,
100 | 100 | 100 | 100 | 0 | 0 | 0 | 100 | 0,000021201,
100 | 100 | 0 | 0 | 100 | 0 | 0 | 0 | 0,002101122,
100 | 100 | 0 | 100 | 100 | 0 | 0 | 0 | 100,001002120,
