2022-04-27 23:38:24.646 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 2
2022-04-27 23:38:24.646 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000021001
2022-04-27 23:38:24.647 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 002021001->000020112
2022-04-27 23:38:24.648 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020112
2022-04-27 23:38:24.648 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 2
2022-04-27 23:38:24.648 [main] INFO  org.apache.logging.log4j.LogManager - Board state 001020112
2022-04-27 23:38:24.648 [main] INFO  org.apache.logging.log4j.LogManager - Human: 201020112
2022-04-27 23:38:24.649 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.649 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 1
2022-04-27 23:38:24.649 [main] INFO  org.apache.logging.log4j.LogManager - Board state 010000000
2022-04-27 23:38:24.650 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 010020000->000020010
2022-04-27 23:38:24.650 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000020010
2022-04-27 23:38:24.650 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 2
2022-04-27 23:38:24.650 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000021010
2022-04-27 23:38:24.651 [main] INFO  org.apache.logging.log4j.LogManager - Board mirror found 002021010->000021210
2022-04-27 23:38:24.651 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000021210
2022-04-27 23:38:24.651 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 2
2022-04-27 23:38:24.652 [main] INFO  org.apache.logging.log4j.LogManager - Board state 001021210
2022-04-27 23:38:24.653 [main] INFO  org.apache.logging.log4j.LogManager - Board state 001021212
2022-04-27 23:38:24.653 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 0, 0
2022-04-27 23:38:24.653 [main] INFO  org.apache.logging.log4j.LogManager - Board state 101021212
2022-04-27 23:38:24.654 [main] INFO  org.apache.logging.log4j.LogManager - Board state 121021212
2022-04-27 23:38:24.654 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 0
2022-04-27 23:38:24.655 [main] INFO  org.apache.logging.log4j.LogManager - Draw: 121121212
2022-04-27 23:38:24.656 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000000000
2022-04-27 23:38:24.656 [main] INFO  org.apache.logging.log4j.LogManager - Menace played 1, 1
2022-04-27 23:38:24.656 [main] INFO  org.apache.logging.log4j.LogManager - Board state 000010000
